,sub,hemi,label,norm_mean_sulcal_depth,mean_cortical_thickness,type
598,n039t2,lh,sfs_p,0.29451409,2.453,Non-Tertiary
626,n039t2,rh,sprs,0.267089128,2.515,Non-Tertiary
654,n039t2,lh,sprs,0.248353511,2.603,Non-Tertiary
11,n041t2,rh,central,0.20660302,2.09,Non-Tertiary
39,n041t2,lh,central,0.209362328,2.153,Non-Tertiary
67,n041t2,rh,ifs,0.203052253,2.109,Non-Tertiary
95,n041t2,lh,ifs,0.298941672,2.514,Non-Tertiary
123,n041t2,rh,imfs_h,0.175656557,1.848,Non-Tertiary
151,n041t2,lh,imfs_h,0.227972478,2.118,Non-Tertiary
179,n041t2,rh,imfs_v,0.251846612,1.864,Non-Tertiary
207,n041t2,lh,imfs_v,0.238328025,2.265,Non-Tertiary
235,n041t2,rh,iprs,0.280625314,2.639,Non-Tertiary
263,n041t2,lh,iprs,0.288697332,2.585,Non-Tertiary
291,n041t2,rh,pimfs,-0.173394069,1.719,Tertiary
319,n041t2,lh,pimfs,0.076900676,2.11,Tertiary
347,n041t2,rh,pmfs_a,-0.148119658,2.313,Tertiary
375,n041t2,lh,pmfs_a,-0.015909657,1.939,Tertiary
403,n041t2,rh,pmfs_i,-0.143053025,2.315,Tertiary
431,n041t2,lh,pmfs_i,0.038021673,2.317,Tertiary
459,n041t2,rh,pmfs_p,-0.386446983,3.655,Tertiary
487,n041t2,lh,pmfs_p,-0.334641069,3.49,Tertiary
515,n041t2,rh,sfs_a,0.267934412,2.199,Non-Tertiary
543,n041t2,lh,sfs_a,0.162928015,2.632,Non-Tertiary
571,n041t2,rh,sfs_p,0.276000887,2.429,Non-Tertiary
599,n041t2,lh,sfs_p,0.201901183,2.535,Non-Tertiary
627,n041t2,rh,sprs,0.19426775,2.581,Non-Tertiary
655,n041t2,lh,sprs,0.288642049,2.683,Non-Tertiary
12,n044t2,rh,central,0.215665445,2.043,Non-Tertiary
40,n044t2,lh,central,0.217119798,2.222,Non-Tertiary
68,n044t2,rh,ifs,0.239630267,2.291,Non-Tertiary
96,n044t2,lh,ifs,0.177999541,2.227,Non-Tertiary
124,n044t2,rh,imfs_h,0.22400865,1.932,Non-Tertiary
152,n044t2,lh,imfs_h,0.261969507,2.46,Non-Tertiary
180,n044t2,rh,imfs_v,0.013198737,1.884,Non-Tertiary
208,n044t2,lh,imfs_v,0.145993263,2.428,Non-Tertiary
236,n044t2,rh,iprs,0.26137045,2.902,Non-Tertiary
264,n044t2,lh,iprs,0.294013441,2.702,Non-Tertiary
292,n044t2,rh,pimfs,0.065716788,2.548,Tertiary
320,n044t2,lh,pimfs,0.025458071,2.054,Tertiary
348,n044t2,rh,pmfs_a,0.005625986,2.109,Tertiary
376,n044t2,lh,pmfs_a,-0.034058914,2.471,Tertiary
404,n044t2,rh,pmfs_i,0.073482938,2.439,Tertiary
432,n044t2,lh,pmfs_i,-0.366157502,3.144,Tertiary
460,n044t2,rh,pmfs_p,0.006105805,2.846,Tertiary
488,n044t2,lh,pmfs_p,-0.26362744,3.258,Tertiary
516,n044t2,rh,sfs_a,0.24728936,2.312,Non-Tertiary
544,n044t2,lh,sfs_a,0.28917399,2.568,Non-Tertiary
572,n044t2,rh,sfs_p,0.358009219,2.544,Non-Tertiary
600,n044t2,lh,sfs_p,0.225384459,2.657,Non-Tertiary
628,n044t2,rh,sprs,0.252160579,2.593,Non-Tertiary
656,n044t2,lh,sprs,0.140097812,2.551,Non-Tertiary
13,n050t2,rh,central,0.222716331,2.009,Non-Tertiary
41,n050t2,lh,central,0.238908112,2.117,Non-Tertiary
69,n050t2,rh,ifs,0.221911356,2.38,Non-Tertiary
97,n050t2,lh,ifs,0.280475885,2.59,Non-Tertiary
125,n050t2,rh,imfs_h,0.197961524,1.915,Non-Tertiary
153,n050t2,lh,imfs_h,0.246091276,2.413,Non-Tertiary
181,n050t2,rh,imfs_v,0.312954515,2.121,Non-Tertiary
209,n050t2,lh,imfs_v,0.162677407,1.938,Non-Tertiary
237,n050t2,rh,iprs,0.261021495,2.721,Non-Tertiary
265,n050t2,lh,iprs,0.211360678,2.621,Non-Tertiary
293,n050t2,rh,pimfs,-0.000669171,1.92,Tertiary
321,n050t2,lh,pimfs,0.036634073,2.074,Tertiary
349,n050t2,rh,pmfs_a,-0.179386348,1.928,Tertiary
377,n050t2,lh,pmfs_a,-0.251792789,2.56,Tertiary
405,n050t2,rh,pmfs_i,-0.145859033,2.62,Tertiary
433,n050t2,lh,pmfs_i,-0.102664925,2.314,Tertiary
